what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292100092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354292167921
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292169465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292170604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292173131
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292173958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1354292181352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354292182553
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292186719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292188606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292195773
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292201061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354292209609
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292226083
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292227440
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292228454
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292229016
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292233165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1354292377075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354292378682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354292380383
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292384220
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292384922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292386763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292390476
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292394080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292402770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292402863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292405203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292405328
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292407122
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292407808
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292408635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292410289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292410382
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354292410476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292411443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354292415827
